Week,brexit,gbp,gbpusd,gbptot,usdtot
8/14/2016,4,41,0.7768,8.67058,-14.0126
8/21/2016,4,40,0.7607,8.67069,-14.0304
8/28/2016,4,40,0.765,8.572,-14.1513
9/4/2016,5,40,0.7522,8.5898,-13.9984
9/11/2016,4,37,0.7518,8.54387,-14.0816
9/18/2016,4,36,0.7656,8.43241,-13.8202
9/25/2016,4,37,0.7707,8.48578,-13.9939
10/2/2016,6,50,0.7792,8.38647,-14.1468
10/9/2016,6,53,0.808,8.07322,-14.3914
10/16/2016,6,44,0.8228,8.03277,-14.1552
10/23/2016,6,41,0.8193,8.04968,-14.1523
10/30/2016,9,44,0.8189,8.15987,-13.8033
11/6/2016,14,55,0.8069,8.19021,-13.6574
11/13/2016,6,44,0.803,7.9732,-13.6265
11/20/2016,5,44,0.8017,7.92654,-13.9179
11/27/2016,5,41,0.8057,7.87012,-13.7397
12/4/2016,6,42,0.787,7.81034,-14.1334
12/11/2016,4,38,0.7893,7.88257,-14.3326
12/18/2016,3,35,0.807,7.78057,-14.2681
12/25/2016,3,34,0.8139,7.68687,-14.2115
1/1/2017,4,40,0.8132,7.73432,-14.2642
1/8/2017,4,42,0.8234,8.04519,-14.2526
1/15/2017,8,48,0.8289,7.9744,-14.1342
1/22/2017,7,43,0.8004,8.08698,-14.1238
1/29/2017,6,41,0.799,8.04598,-14.2711
2/5/2017,5,37,0.8036,8.18028,-14.3306
2/12/2017,4,36,0.7998,8.24386,-13.87
2/19/2017,4,38,0.8017,8.27537,-13.9812
2/26/2017,5,38,0.8019,8.43786,-14.052
3/5/2017,5,38,0.8161,8.25191,-14.0529
3/12/2017,7,39,0.8175,8.15801,-13.7752
3/19/2017,6,39,0.8087,8.28308,-13.7322
3/26/2017,12,47,0.7955,8.33229,-13.7229
4/2/2017,6,41,0.8012,8.31065,-13.8656
4/9/2017,4,39,0.8048,8.23597,-14.066
4/16/2017,5,44,0.7941,8.38872,-14.0659
4/23/2017,4,42,0.7827,8.31269,-13.7921
4/30/2017,5,41,0.7735,8.22802,-13.8431
5/7/2017,5,39,0.7728,8.06455,-13.7605
5/14/2017,4,38,0.7741,8.06836,-13.8239
5/21/2017,3,38,0.7683,8.23137,-13.8973
5/28/2017,4,39,0.7788,8.28665,-13.8631
6/4/2017,6,47,0.7734,8.42599,-13.7886
6/11/2017,5,42,0.7891,8.28889,-13.7112
6/18/2017,6,39,0.7839,8.2298,-13.5563
6/25/2017,4,41,0.7851,8.20886,-13.5367
7/2/2017,4,39,0.7729,8.11973,-13.5292
7/9/2017,4,39,0.7774,8.07129,-13.2123
7/16/2017,4,41,0.7653,8.18807,-13.4414
7/23/2017,4,40,0.7665,8.32243,-13.4392
7/30/2017,4,42,0.7586,8.42101,-13.5922
8/6/2017,4,40,0.7679,8.45338,-13.6911
