Date,oil,dxy,nokusd,eurusd,gbpusd
10/1/1985,28.3,131.15,7.96,1.2092,0.7123
10/2/1985,28.3,130.92,7.871,1.1939,0.707
10/3/1985,29.05,129.88,7.9075,1.1931,0.7042
10/4/1985,28.75,130.37,7.821,1.1802,0.7056
10/7/1985,28.6,131.06,7.9375,1.194,0.705
10/8/1985,28.75,130.98,7.881,1.1945,0.7067
10/9/1985,28.7,130.88,7.8825,1.1938,0.706
10/10/1985,28.3,131.3,7.903,1.2006,0.7081
10/11/1985,28.3,131.29,7.915,1.2006,0.7095
10/14/1985,27.65,131.29,7.911,1.2029,0.7072
10/15/1985,28.05,131.45,7.917,1.2038,0.7075
10/16/1985,28.1,132.38,7.982,1.212,0.7093
10/17/1985,28.15,130.96,7.97,1.1995,0.7062
10/18/1985,27.95,130.51,7.915,1.1926,0.7005
10/21/1985,28.25,130.39,7.861,1.1898,0.6974
10/22/1985,28.15,130.68,7.915,1.193,0.6974
10/23/1985,28.3,130.48,7.915,1.1927,0.6973
10/24/1985,28.6,131.03,7.934,1.1974,0.7021
10/25/1985,28.75,130.99,7.9435,1.1965,0.7019
10/28/1985,28.9,130.47,7.928,1.1966,0.7003
10/29/1985,28.53,129.64,7.901,1.1902,0.6957
10/30/1985,28.95,129.56,7.8575,1.1813,0.6931
10/31/1985,29.1,129.39,7.865,1.1824,0.692
11/1/1985,28.95,128.69,7.86,1.1827,0.6959
11/4/1985,28.95,128.47,7.8065,1.1747,0.6949
11/5/1985,28.95,129.07,7.85,1.1822,0.6968
11/6/1985,29.1,128.4,7.832,1.1779,0.6967
11/7/1985,29.2,129.39,7.816,1.1761,0.7035
11/8/1985,29.2,129.4,7.8925,1.1886,0.7047
11/11/1985,29.65,129.4,7.888,1.1894,0.7044
11/12/1985,29.65,129.44,7.893,1.1882,0.7068
11/13/1985,29.9,128.89,7.867,1.1826,0.7029
11/14/1985,30.75,128.85,7.858,1.1826,0.7016
11/15/1985,30.1,129.19,7.861,1.1842,0.703
11/18/1985,30,128.79,7.873,1.1877,0.7017
11/19/1985,30.3,128.12,7.843,1.1804,0.6969
11/20/1985,30.5,128.54,7.826,1.1753,0.6976
11/21/1985,30.7,127.1,7.799,1.1725,0.694
11/22/1985,30.7,126.54,7.755,1.1701,0.6892
11/25/1985,30.65,126.48,7.696,1.1609,0.6833
11/26/1985,30.6,125.92,7.7175,1.1633,0.6819
11/27/1985,30.15,125.9,7.651,1.1542,0.6802
11/28/1985,30.15,125.9,7.64,1.1467,0.677
11/29/1985,29.35,124.99,7.5755,1.1401,0.671
12/2/1985,29,125.32,7.564,1.1324,0.6718
12/3/1985,29,125.87,7.614,1.1489,0.6742
12/4/1985,28.35,125.34,7.592,1.1411,0.6732
12/5/1985,28.25,125.43,7.615,1.1475,0.6761
12/6/1985,28.25,125.69,7.613,1.1455,0.6765
12/9/1985,28,126.19,7.646,1.1489,0.6835
12/10/1985,28,126.66,7.703,1.1559,0.6965
12/11/1985,25.75,126.65,7.716,1.1639,0.7067
12/12/1985,27,125.98,7.6775,1.1509,0.6957
12/13/1985,26.75,126.13,7.675,1.1471,0.6961
12/16/1985,26.4,125.78,7.6845,1.1505,0.6961
12/17/1985,25.2,125.65,7.643,1.1463,0.6953
12/18/1985,25.45,126.48,7.66,1.1498,0.7022
12/19/1985,25.55,126.19,7.698,1.1522,0.7032
12/20/1985,25.65,125.85,7.693,1.15,0.7022
12/23/1985,25.5,125.89,7.683,1.1469,0.6993
12/24/1985,25.6,125.73,7.68,1.147,0.702
12/25/1985,25.6,125.73,7.68,1.147,0.702
12/26/1985,25.6,125.81,7.68,1.147,0.702
12/27/1985,26.5,124.3,7.671,1.1365,0.6969
12/30/1985,26.6,124.04,7.592,1.1268,0.6941
12/31/1985,26.3,123.46,7.548,1.1262,0.6916
1/1/1986,26.3,123.46,7.548,1.121,0.6916
1/2/1986,25.65,122.76,7.5495,1.1248,0.6916
1/3/1986,26,124.5,7.5975,1.1294,0.695
1/6/1986,26.45,123.72,7.5334,1.1308,0.6937
1/7/1986,26.4,123.5,7.528,1.1123,0.6952
1/8/1986,25.8,124.36,7.5462,1.1178,0.693
1/9/1986,25.05,123.21,7.5472,1.1232,0.6901
1/10/1986,25.1,124.16,7.5646,1.122,0.6867
1/13/1986,24.9,124.47,7.6353,1.1347,0.6942
1/14/1986,24.4,124.67,7.6055,1.1322,0.6942
1/15/1986,24.1,124.3,7.5869,1.1272,0.6932
1/16/1986,22.6,124.53,7.5945,1.1257,0.6947
1/17/1986,22.4,124.41,7.5999,1.1286,0.6952
1/20/1986,20.8,124.6,7.5927,1.1442,0.7063
1/21/1986,19.85,124.5,7.5709,1.1261,0.7082
1/22/1986,20.05,124.75,7.5754,1.1443,0.7163
1/23/1986,18.4,124.45,7.5673,1.1389,0.7226
1/24/1986,18.55,122.78,7.5211,1.1252,0.7192
1/27/1986,19,122.45,7.4933,1.1037,0.7213
1/28/1986,19.75,122.13,7.4702,1.0992,0.711
1/29/1986,18.7,121.85,7.4495,1.1062,0.7128
1/30/1986,19.5,121.15,7.4403,1.0994,0.71
1/31/1986,18.3,121.52,7.4548,1.1022,0.7088
2/3/1986,18,122.04,7.4648,1.1036,0.722
2/4/1986,17.75,122.87,7.5095,1.1099,0.7254
2/5/1986,17.75,121.63,7.4478,1.1074,0.72
2/6/1986,17.75,121.81,7.4173,1.1005,0.7141
2/7/1986,18,121.97,7.4383,1.101,0.7131
2/10/1986,18,120.81,7.3996,1.0983,0.71
2/11/1986,17.9,120.6,7.3825,1.0956,0.7085
2/12/1986,16.5,120.09,7.3701,1.0956,0.7085
2/13/1986,16.3,119.14,7.3445,1.0887,0.707
2/14/1986,16.3,118.82,7.3332,1.0866,0.7056
2/17/1986,16.3,118.82,7.2893,1.0818,0.7038
2/18/1986,16.3,118.05,7.3022,1.0792,0.6996
2/19/1986,17.1,117.19,7.16,1.0597,0.6861
2/20/1986,17.1,117.1,7.2013,1.0663,0.6888
2/21/1986,16.3,117.22,7.1898,1.0701,0.6919
2/24/1986,17,115.86,7.1426,1.0578,0.6838
2/25/1986,17.8,115.17,7.0343,1.0483,0.6688
2/26/1986,18.2,114.77,7.0343,1.0483,0.6688
2/27/1986,17.5,114.38,7.0195,1.0285,0.6742
2/28/1986,16.7,115.08,7.0188,1.0425,0.6886
3/3/1986,16.2,114.38,7.0274,1.0337,0.6942
3/4/1986,15.25,113.73,6.9755,1.0154,0.6842
3/5/1986,15,116.1,7.075,1.034,0.6878
3/6/1986,15,115.25,7.1205,1.0439,0.6856
3/7/1986,14.5,114.97,7.1131,1.0337,0.6873
3/10/1986,14.5,116.22,7.2025,1.0509,0.693
3/11/1986,14.6,115.86,7.1575,1.048,0.6854
3/12/1986,14.6,116.13,7.1925,1.0544,0.6814
3/13/1986,15,116.75,7.2075,1.0572,0.6845
3/14/1986,15,115.22,7.1168,1.0448,0.6813
3/17/1986,13.75,114.83,7.0875,1.0454,0.6828
3/18/1986,13.95,114.42,7.1021,1.0306,0.6769
3/19/1986,14.45,115.1,7.1335,1.0421,0.6765
3/20/1986,14.7,114.68,7.1125,1.0497,0.672
3/21/1986,13.75,114.17,7.0816,1.0376,0.6651
3/24/1986,12.7,116.84,7.1722,1.0612,0.6712
3/25/1986,12.65,118.11,7.3123,1.0727,0.6841
3/26/1986,11.9,118.02,7.2547,1.0683,0.6783
3/27/1986,11.6,117.68,7.2667,1.0652,0.6746
3/28/1986,11.6,117.68,7.2667,1.0652,0.6746
3/31/1986,11.6,117.92,7.2667,1.0652,0.6746
4/1/1986,9.7,118,7.2735,1.0729,0.681
4/2/1986,11,118.85,7.3025,1.0831,0.6787
4/3/1986,10.7,119.95,7.3567,1.0988,0.685
4/4/1986,12.25,120.69,7.4001,1.1077,0.6901
4/7/1986,13.85,120.42,7.4266,1.1126,0.6885
4/8/1986,13.85,118.4,7.2574,1.0981,0.6789
4/9/1986,13,118.44,7.2825,1.0801,0.6845
4/10/1986,13.9,116.92,7.3015,1.0786,0.6835
4/11/1986,14,117.3,7.2398,1.0619,0.6751
4/14/1986,14,117.5,7.2425,1.0679,0.6754
4/15/1986,13.5,117.4,7.2505,1.0821,0.6757
4/16/1986,12.5,114.95,7.1374,1.0497,0.6654
4/17/1986,11.85,114.29,7.0594,1.0343,0.6571
4/18/1986,12,113.17,7.0508,1.0368,0.6604
4/21/1986,11.4,113,7.0517,1.0261,0.6609
4/22/1986,11.55,112.18,6.996,1.0327,0.6609
4/23/1986,12.15,112.17,6.989,1.0177,0.6553
4/24/1986,12.9,112.35,6.962,1.0214,0.6513
4/25/1986,11.4,111.12,6.9505,1.0239,0.6507
4/28/1986,12.8,110.93,6.9173,1.0006,0.6443
4/29/1986,12.5,111.44,6.9025,1.0074,0.6437
4/30/1986,12.35,111.77,6.9323,1.0103,0.6452
5/1/1986,12.65,113.38,7.1187,1.0276,0.6541
5/2/1986,13.55,112.74,7.0325,1.024,0.6545
5/5/1986,13.55,111.25,7.0325,1.024,0.6545
