Date,latam,africa,asia,eur,sp,em
5/29/2009,1000,679.085849,617.966449,166.859428,919.14,1334.094828
6/1/2009,1038.057726,699.537911,638.576176,179.157488,942.87,1384.356425
6/2/2009,1027.581973,699.956835,632.095729,179.537604,944.74,1373.094047
6/3/2009,995.639353,684.429372,634.546839,166.419303,931.76,1353.537749
6/4/2009,1013.227346,688.053267,625.273066,167.97295,942.46,1349.553491
6/5/2009,1009.492254,685.818079,632.276047,170.527186,940.09,1358.641361
6/8/2009,1002.297176,667.56049,619.914934,164.323982,939.14,1333.280316
6/9/2009,1010.024134,678.97826,613.246552,166.200994,942.43,1331.477043
6/10/2009,1014.312625,683.344369,634.02401,170.39672,939.15,1362.534646
6/11/2009,1017.553711,680.406445,635.217369,172.068975,944.89,1365.940697
6/12/2009,1029.527376,677.616478,631.798478,171.636051,946.21,1364.644153
6/15/2009,999.058309,676.733047,617.270815,162.139559,923.72,1329.719689
6/16/2009,984.817878,684.049507,611.045144,163.837936,911.97,1320.742255
6/17/2009,957.19763,661.60144,604.714789,155.194212,910.71,1294.138237
6/18/2009,970.836168,661.79222,594.018466,154.356158,918.37,1285.661174
6/19/2009,980.139853,664.492073,600.3479,155.060317,921.23,1297.384377
6/22/2009,930.179423,642.501269,603.081543,143.426751,893.04,1273.236151
6/23/2009,929.200148,635.195385,587.781456,141.365491,895.1,1251.193861
6/24/2009,944.966529,656.260851,600.050507,149.820831,900.94,1282.451042
6/25/2009,970.262138,654.783262,608.274259,146.325717,920.26,1297.046745
6/26/2009,983.651032,670.286543,617.840559,148.104045,918.9,1317.303329
6/29/2009,991.604034,677.260385,615.877583,151.549502,927.23,1322.207587
6/30/2009,978.672185,684.375611,614.558557,149.537415,919.32,1316.388649
7/1/2009,990.838802,696.124812,621.878122,156.337135,923.33,1336.98097
7/2/2009,971.61738,681.658127,622.706663,150.007678,896.42,1325.048726
7/3/2009,967.687378,676.891338,625.479239,148.760286,NA,1325.390808
7/6/2009,948.217405,656.064133,616.854461,141.76535,898.72,1300.33244
7/7/2009,936.051029,663.399555,617.016647,141.96239,881.03,1299.345904
7/8/2009,920.294074,650.115737,609.932556,137.148785,879.56,1279.793753
7/9/2009,916.913861,652.677194,613.711934,137.288019,882.68,1284.289574
7/10/2009,914.125395,653.441364,609.772703,131.800949,879.13,1274.397392
7/13/2009,920.858489,646.140409,590.028623,133.067559,901.05,1252.125314
7/14/2009,928.383506,659.256213,606.781292,137.339375,905.84,1281.148796
7/15/2009,976.987985,678.158859,623.002983,146.361024,932.68,1328.274206
7/16/2009,990.778941,684.311777,628.389863,146.690206,940.74,1341.185502
7/17/2009,999.508143,683.484365,638.094626,149.343135,940.38,1357.481669
7/20/2009,1029.43382,700.658933,657.858771,156.593081,951.13,1399.864407
7/21/2009,1031.901251,713.909402,658.252841,159.261505,954.58,1406.110271
7/22/2009,1030.80283,717.077802,654.602355,155.57395,954.07,1399.340939
7/23/2009,1057.146249,724.994782,663.924439,163.584001,976.29,1426.522179
7/24/2009,1051.643401,714.60733,669.008615,163.425497,979.26,1429.515439
7/27/2009,1057.941691,717.379568,678.7269,165.680581,982.18,1446.902421
7/28/2009,1054.03422,704.396967,688.247437,159.347845,979.62,1452.033657
7/29/2009,1035.379418,695.414213,676.245874,155.187992,975.15,1427.512734
