Category: All categories

Month,"zillow + cyberhomes + ""home prices"" + ""home refinance"": (Worldwide)"
2004-01,3
2004-02,3
2004-03,3
2004-04,3
2004-05,3
2004-06,3
2004-07,3
2004-08,3
2004-09,2
2004-10,2
2004-11,2
2004-12,2
2005-01,2
2005-02,3
2005-03,3
2005-04,3
2005-05,3
2005-06,3
2005-07,3
2005-08,3
2005-09,3
2005-10,2
2005-11,2
2005-12,2
2006-01,3
2006-02,21
2006-03,15
2006-04,15
2006-05,17
2006-06,14
2006-07,16
2006-08,16
2006-09,14
2006-10,14
2006-11,11
2006-12,13
2007-01,13
2007-02,18
2007-03,16
2007-04,16
2007-05,15
2007-06,15
2007-07,16
2007-08,15
2007-09,14
2007-10,13
2007-11,12
2007-12,12
2008-01,15
2008-02,16
2008-03,17
2008-04,17
2008-05,17
2008-06,17
2008-07,18
2008-08,19
2008-09,18
2008-10,17
2008-11,16
2008-12,19
2009-01,21
2009-02,22
2009-03,22
2009-04,22
2009-05,22
2009-06,20
2009-07,20
2009-08,21
2009-09,19
2009-10,18
2009-11,16
2009-12,16
2010-01,18
2010-02,19
2010-03,19
2010-04,19
2010-05,18
2010-06,19
2010-07,21
2010-08,22
2010-09,22
2010-10,21
2010-11,20
2010-12,20
2011-01,25
2011-02,25
2011-03,26
2011-04,29
2011-05,31
2011-06,32
2011-07,37
2011-08,36
2011-09,33
2011-10,33
2011-11,31
2011-12,33
2012-01,39
2012-02,39
2012-03,40
2012-04,39
2012-05,39
2012-06,39
2012-07,42
2012-08,42
2012-09,39
2012-10,37
2012-11,33
2012-12,33
2013-01,42
2013-02,45
2013-03,51
2013-04,53
2013-05,54
2013-06,58
2013-07,63
2013-08,63
2013-09,54
2013-10,49
2013-11,45
2013-12,44
2014-01,55
2014-02,56
2014-03,64
2014-04,67
2014-05,67
2014-06,69
2014-07,74
2014-08,72
2014-09,65
2014-10,62
2014-11,55
2014-12,54
2015-01,67
2015-02,69
2015-03,76
2015-04,81
2015-05,83
2015-06,85
2015-07,89
2015-08,92
2015-09,81
2015-10,75
2015-11,69
2015-12,69
2016-01,78
2016-02,79
2016-03,86
2016-04,89
2016-05,88
2016-06,88
2016-07,90
2016-08,87
2016-09,79
2016-10,76
2016-11,68
2016-12,67
2017-01,87
2017-02,91
2017-03,95
2017-04,98
2017-05,96
2017-06,95
2017-07,99
2017-08,100
