date,google,hpi,hpi_lag1,google_lag1,hpi_lag2,google_lag2
1/1/2004,3,NA,NA,NA,NA,NA
2/1/2004,3,NA,NA,3,NA,NA
3/1/2004,3,NA,NA,3,NA,3
4/1/2004,3,NA,NA,3,NA,3
5/1/2004,3,NA,NA,3,NA,3
6/1/2004,3,NA,NA,3,NA,3
7/1/2004,3,NA,NA,3,NA,3
8/1/2004,3,NA,NA,3,NA,3
9/1/2004,2,NA,NA,3,NA,3
10/1/2004,2,NA,NA,2,NA,3
11/1/2004,2,NA,NA,2,NA,2
12/1/2004,2,NA,NA,2,NA,2
1/1/2005,2,NA,NA,2,NA,2
2/1/2005,3,NA,NA,2,NA,2
3/1/2005,3,NA,NA,3,NA,2
4/1/2005,3,NA,NA,3,NA,3
5/1/2005,3,NA,NA,3,NA,3
6/1/2005,3,NA,NA,3,NA,3
7/1/2005,3,NA,NA,3,NA,3
8/1/2005,3,NA,NA,3,NA,3
9/1/2005,3,NA,NA,3,NA,3
10/1/2005,2,NA,NA,3,NA,3
11/1/2005,2,NA,NA,2,NA,3
12/1/2005,2,NA,NA,2,NA,2
1/1/2006,3,NA,NA,2,NA,2
2/1/2006,21,NA,NA,3,NA,2
3/1/2006,15,NA,NA,21,NA,3
4/1/2006,15,NA,NA,15,NA,21
5/1/2006,17,NA,NA,15,NA,15
6/1/2006,14,NA,NA,17,NA,15
7/1/2006,16,NA,NA,14,NA,17
8/1/2006,16,NA,NA,16,NA,14
9/1/2006,14,NA,NA,16,NA,16
10/1/2006,14,NA,NA,14,NA,16
11/1/2006,11,NA,NA,14,NA,14
12/1/2006,13,NA,NA,11,NA,14
1/1/2007,13,NA,NA,13,NA,11
2/1/2007,18,NA,NA,13,NA,13
3/1/2007,16,NA,NA,18,NA,13
4/1/2007,16,200.54,NA,16,NA,18
5/1/2007,15,200.12,200.54,16,NA,16
6/1/2007,15,199.44,200.12,15,200.54,16
7/1/2007,16,198.72,199.44,15,200.12,15
8/1/2007,15,197.37,198.72,16,199.44,15
9/1/2007,14,195.69,197.37,15,198.72,16
10/1/2007,13,192.98,195.69,14,197.37,15
11/1/2007,12,188.94,192.98,13,195.69,14
12/1/2007,12,184.97,188.94,12,192.98,13
1/1/2008,15,180.68,184.97,12,188.94,12
2/1/2008,16,175.96,180.68,15,184.97,12
3/1/2008,17,172.2,175.96,16,180.68,15
4/1/2008,17,169.98,172.2,17,175.96,16
5/1/2008,17,168.6,169.98,17,172.2,17
6/1/2008,17,167.78,168.6,17,169.98,17
7/1/2008,18,166.36,167.78,17,168.6,17
8/1/2008,19,164.65,166.36,18,167.78,17
9/1/2008,18,161.64,164.65,19,166.36,18
10/1/2008,17,158.09,161.64,18,164.65,19
11/1/2008,16,154.5,158.09,17,161.64,18
12/1/2008,19,150.54,154.5,16,158.09,17
1/1/2009,21,146.34,150.54,19,154.5,16
2/1/2009,22,143.11,146.34,21,150.54,19
3/1/2009,22,140.06,143.11,22,146.34,21
4/1/2009,22,139.26,140.06,22,143.11,22
5/1/2009,22,139.98,139.26,22,140.06,22
6/1/2009,20,141.97,139.98,22,139.26,22
7/1/2009,20,144.32,141.97,20,139.98,22
8/1/2009,21,146.11,144.32,20,141.97,20
9/1/2009,19,146.63,146.11,21,144.32,20
10/1/2009,18,146.49,146.63,19,146.11,21
11/1/2009,16,146.17,146.49,18,146.63,19
12/1/2009,16,145.89,146.17,16,146.49,18
1/1/2010,18,145.31,145.89,16,146.17,16
2/1/2010,19,144.06,145.31,18,145.89,16
3/1/2010,19,143.34,144.06,19,145.31,18
4/1/2010,19,144.56,143.34,19,144.06,19
5/1/2010,18,146.46,144.56,19,143.34,19
6/1/2010,19,147.99,146.46,18,144.56,19
7/1/2010,21,148.88,147.99,19,146.46,18
8/1/2010,22,148.49,148.88,21,147.99,19
9/1/2010,22,147.26,148.49,22,148.88,21
10/1/2010,21,145.24,147.26,22,148.49,22
11/1/2010,20,143.77,145.24,21,147.26,22
12/1/2010,20,142.39,143.77,20,145.24,21
1/1/2011,25,140.78,142.39,20,143.77,20
2/1/2011,25,139.05,140.78,25,142.39,20
3/1/2011,26,137.64,139.05,25,140.78,25
4/1/2011,29,138.43,137.64,26,139.05,25
5/1/2011,31,139.88,138.43,29,137.64,26
6/1/2011,32,141.5,139.88,31,138.43,29
7/1/2011,37,142.89,141.5,32,139.88,31
8/1/2011,36,142.97,142.89,37,141.5,32
9/1/2011,33,141.97,142.97,36,142.89,37
10/1/2011,33,140.05,141.97,33,142.97,36
11/1/2011,31,138.18,140.05,33,141.97,33
12/1/2011,33,136.6,138.18,31,140.05,33
1/1/2012,39,135.21,136.6,33,138.18,31
2/1/2012,39,134.08,135.21,39,136.6,33
3/1/2012,40,134.07,134.08,39,135.21,39
4/1/2012,39,135.98,134.07,40,134.08,39
5/1/2012,39,139.2,135.98,39,134.07,40
6/1/2012,39,142.36,139.2,39,135.98,39
7/1/2012,42,144.58,142.36,39,139.2,39
8/1/2012,42,145.82,144.58,42,142.36,39
9/1/2012,39,146.23,145.82,42,144.58,42
10/1/2012,37,146.04,146.23,39,145.82,42
11/1/2012,33,145.82,146.04,37,146.23,39
12/1/2012,33,146.08,145.82,33,146.04,37
1/1/2013,42,146.15,146.08,33,145.82,33
2/1/2013,45,146.51,146.15,42,146.08,33
3/1/2013,51,148.44,146.51,45,146.15,42
4/1/2013,53,152.24,148.44,51,146.51,45
5/1/2013,54,156.06,152.24,53,148.44,51
6/1/2013,58,159.46,156.06,54,152.24,53
7/1/2013,63,162.38,159.46,58,156.06,54
8/1/2013,63,164.49,162.38,63,159.46,58
9/1/2013,54,165.6,164.49,63,162.38,63
10/1/2013,49,165.9,165.6,54,164.49,63
11/1/2013,45,165.8,165.9,49,165.6,54
12/1/2013,44,165.63,165.8,45,165.9,49
1/1/2014,55,165.4,165.63,44,165.8,45
2/1/2014,56,165.35,165.4,55,165.63,44
3/1/2014,64,166.8,165.35,56,165.4,55
4/1/2014,67,168.72,166.8,64,165.35,56
5/1/2014,67,170.6,168.72,67,166.8,64
6/1/2014,69,172.3,170.6,67,168.72,67
7/1/2014,74,173.29,172.3,69,170.6,67
8/1/2014,72,173.62,173.29,74,172.3,69
9/1/2014,65,173.44,173.62,72,173.29,74
10/1/2014,62,173.22,173.44,65,173.62,72
11/1/2014,55,172.79,173.22,62,173.44,65
12/1/2014,54,172.83,172.79,55,173.22,62
1/1/2015,67,172.64,172.83,54,172.79,55
2/1/2015,69,173.43,172.64,67,172.83,54
3/1/2015,76,174.98,173.43,69,172.64,67
4/1/2015,81,176.99,174.98,76,173.43,69
5/1/2015,83,178.91,176.99,81,174.98,76
